Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.283,-68.2544
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.283,-68.2544
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.283,-68.2544
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.283,-68.2544
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.28289,-68.25449
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.28289,-68.25449
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2774,-68.2368
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2751,-67.6161
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2731,-67.9392
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.272,-67.6114
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2714,-67.6131
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2714,-67.6131
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2714,-67.6131
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2714,-67.6131
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.269,-67.6555
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2685,-67.5884
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2685,-67.5884
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2676,-67.3468
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2591,-68.85398
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.25,-67.6
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.25,-67.6
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.25,-67.6
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2495,-67.594
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.236,-68.0074
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.236,-68.0074
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.23333,-67.6
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2298,-64.5742
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2285,-67.9585
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2284,-67.959
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2271,-67.958
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2239,-68.0341
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2239,-68.0341
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2143,-68.0518
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2143,-68.0518
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2143,-68.0518
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2132,-67.3869
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2132,-67.3869
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.207,-68.0023
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.207,-68.0023
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2055,-68.0026
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2055,-68.0026
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
